contractSymbol,option_type,expiry,dte,strike,spot,moneyness,lastPrice,bid,ask,mid,spread,volume,openInterest,impliedVolatility,lastTradeDate
AAPL260427C00230000,call,2026-04-27,7,230.0,272.56500244140625,0.8438354078471373,42.3,41.3,43.5,42.4,2.200000000000003,5.0,1,0.7812521875,2026-04-16 13:34:42
AAPL260427C00240000,call,2026-04-27,7,240.0,272.56500244140625,0.8805239038404911,28.82,31.0,33.35,32.175,2.3500000000000014,1.0,3,0.5976602734375001,2026-04-17 13:56:05
AAPL260427C00245000,call,2026-04-27,7,245.0,272.56500244140625,0.898868151837168,29.21,26.05,28.7,27.375,2.6499999999999986,1.0,15,0.5756878369140624,2026-04-16 13:48:59
AAPL260427C00250000,call,2026-04-27,7,250.0,272.56500244140625,0.9172123998338448,21.12,21.05,23.75,22.4,2.6999999999999993,6.0,10,0.5004932763671875,2026-04-17 17:33:47
AAPL260427C00255000,call,2026-04-27,7,255.0,272.56500244140625,0.9355566478305217,17.38,16.55,18.35,17.450000000000003,1.8000000000000007,15.0,208,0.367193828125,2026-04-20 15:04:19
AAPL260427C00257500,call,2026-04-27,7,257.5,272.56500244140625,0.9447287718288602,13.85,14.55,15.95,15.25,1.3999999999999986,2.0,2,0.34009448974609374,2026-04-17 18:50:58
AAPL260427C00260000,call,2026-04-27,7,260.0,272.56500244140625,0.9539008958271986,13.25,12.45,13.1,12.774999999999999,0.6500000000000004,65.0,190,0.2556226782226563,2026-04-20 14:56:00
AAPL260427C00262500,call,2026-04-27,7,262.5,272.56500244140625,0.9630730198255371,9.11,10.4,11.05,10.725000000000001,0.6500000000000004,45.0,15,0.2668530346679688,2026-04-17 19:55:18
AAPL260427C00265000,call,2026-04-27,7,265.0,272.56500244140625,0.9722451438238755,8.69,8.35,8.8,8.575,0.45000000000000107,36.0,467,0.24439232177734377,2026-04-20 15:01:57
AAPL260427C00267500,call,2026-04-27,7,267.5,272.56500244140625,0.981417267822214,7.13,6.45,6.7,6.575,0.25,27.0,263,0.2254716125488281,2026-04-20 14:47:27
AAPL260427C00270000,call,2026-04-27,7,270.0,272.56500244140625,0.9905893918205524,4.95,4.85,5.05,4.949999999999999,0.20000000000000018,921.0,2388,0.22510540527343748,2026-04-20 15:04:32
AAPL260427C00272500,call,2026-04-27,7,272.5,272.56500244140625,0.9997615158188908,3.55,3.45,3.65,3.55,0.19999999999999973,526.0,157,0.2238847143554687,2026-04-20 15:04:35
AAPL260427C00275000,call,2026-04-27,7,275.0,272.56500244140625,1.0089336398172293,2.46,2.39,2.52,2.455,0.1299999999999999,1982.0,1115,0.2224198852539062,2026-04-20 15:04:45
AAPL260427C00277500,call,2026-04-27,7,277.5,272.56500244140625,1.0181057638155677,1.6,1.6,1.7,1.65,0.09999999999999987,329.0,76,0.22412885253906245,2026-04-20 15:07:39
AAPL260427C00280000,call,2026-04-27,7,280.0,272.56500244140625,1.0272778878139062,1.01,1.06,1.1,1.08,0.040000000000000036,621.0,534,0.22534954345703123,2026-04-20 15:07:55
AAPL260427C00282500,call,2026-04-27,7,282.5,272.56500244140625,1.0364500118122446,0.74,0.63,0.73,0.6799999999999999,0.09999999999999998,169.0,178,0.231452998046875,2026-04-20 14:57:15
AAPL260427C00285000,call,2026-04-27,7,285.0,272.56500244140625,1.045622135810583,0.43,0.4,0.45,0.42500000000000004,0.04999999999999999,819.0,389,0.233406103515625,2026-04-20 15:04:13
AAPL260427C00287500,call,2026-04-27,7,287.5,272.56500244140625,1.0547942598089215,0.38,0.27,0.33,0.30000000000000004,0.06,63.0,16,0.24683370361328127,2026-04-20 14:23:30
AAPL260427C00290000,call,2026-04-27,7,290.0,272.56500244140625,1.06396638380726,0.16,0.16,0.18,0.16999999999999998,0.01999999999999999,77.0,236,0.24414818359375,2026-04-20 15:05:17
AAPL260427C00295000,call,2026-04-27,7,295.0,272.56500244140625,1.0823106318039368,0.08,0.05,0.09,0.07,0.039999999999999994,60.0,65,0.264655791015625,2026-04-20 14:51:04
AAPL260427C00300000,call,2026-04-27,7,300.0,272.56500244140625,1.1006548798006137,0.04,0.01,0.05,0.030000000000000002,0.04,266.0,176,0.28711650390624993,2026-04-20 14:41:19
AAPL260427P00220000,put,2026-04-27,7,220.0,272.56500244140625,0.8071469118537834,0.01,0.0,0.04,0.02,0.04,6.0,22,0.5351608984375,2026-04-20 13:56:13
AAPL260427P00225000,put,2026-04-27,7,225.0,272.56500244140625,0.8254911598504603,0.05,0.01,0.06,0.034999999999999996,0.049999999999999996,1.0,1,0.5136767382812499,2026-04-17 17:15:37
AAPL260427P00235000,put,2026-04-27,7,235.0,272.56500244140625,0.8621796558438142,0.07,0.01,0.09,0.049999999999999996,0.08,2.0,18,0.46094289062500005,2026-04-17 18:23:55
AAPL260427P00240000,put,2026-04-27,7,240.0,272.56500244140625,0.8805239038404911,0.05,0.04,0.08,0.06,0.04,28.0,308,0.39649041015625003,2026-04-20 13:56:13
AAPL260427P00242500,put,2026-04-27,7,242.5,272.56500244140625,0.8896960278388295,0.13,0.01,0.1,0.055,0.09000000000000001,3.0,3,0.38086556640624997,2026-04-17 16:39:43
AAPL260427P00245000,put,2026-04-27,7,245.0,272.56500244140625,0.898868151837168,0.08,0.07,0.14,0.10500000000000001,0.07,67.0,130,0.3711000390625,2026-04-20 13:57:35
AAPL260427P00247500,put,2026-04-27,7,247.5,272.56500244140625,0.9080402758355064,0.31,0.03,0.17,0.1,0.14,2.0,2,0.352545537109375,2026-04-17 15:04:04
AAPL260427P00250000,put,2026-04-27,7,250.0,272.56500244140625,0.9172123998338448,0.16,0.13,0.18,0.155,0.04999999999999999,186.0,191,0.32520206054687495,2026-04-20 14:41:30
AAPL260427P00252500,put,2026-04-27,7,252.5,272.56500244140625,0.9263845238321833,0.24,0.11,0.25,0.18,0.14,1.0,29,0.3129951513671875,2026-04-20 13:44:56
AAPL260427P00255000,put,2026-04-27,7,255.0,272.56500244140625,0.9355566478305217,0.29,0.27,0.32,0.29500000000000004,0.04999999999999999,41.0,293,0.29566134033203123,2026-04-20 14:35:00
AAPL260427P00257500,put,2026-04-27,7,257.5,272.56500244140625,0.9447287718288602,0.39,0.36,0.44,0.4,0.08000000000000002,31.0,37,0.282233740234375,2026-04-20 13:53:36
AAPL260427P00260000,put,2026-04-27,7,260.0,272.56500244140625,0.9539008958271986,0.62,0.63,0.67,0.65,0.040000000000000036,223.0,206,0.2766185620117187,2026-04-20 15:04:32
AAPL260427P00262500,put,2026-04-27,7,262.5,272.56500244140625,0.9630730198255371,0.9,0.85,0.96,0.905,0.10999999999999999,55.0,39,0.26697510375976563,2026-04-20 15:01:39
AAPL260427P00265000,put,2026-04-27,7,265.0,272.56500244140625,0.9722451438238755,1.36,1.3,1.43,1.365,0.1299999999999999,365.0,180,0.26282475463867194,2026-04-20 15:04:32
AAPL260427P00267500,put,2026-04-27,7,267.5,272.56500244140625,0.981417267822214,1.9,1.87,2.05,1.96,0.17999999999999972,140.0,34,0.2572095764160156,2026-04-20 15:01:17
AAPL260427P00270000,put,2026-04-27,7,270.0,272.56500244140625,0.9905893918205524,2.82,2.74,2.91,2.825,0.16999999999999993,504.0,221,0.25427991821289064,2026-04-20 15:05:58
AAPL260427P00272500,put,2026-04-27,7,272.5,272.56500244140625,0.9997615158188908,3.8,3.8,4.05,3.925,0.25,257.0,65,0.25440198730468755,2026-04-20 15:05:38
AAPL260427P00275000,put,2026-04-27,7,275.0,272.56500244140625,1.0089336398172293,4.85,5.1,5.45,5.275,0.35000000000000053,80.0,85,0.2556226782226563,2026-04-20 15:02:40
AAPL260427P00277500,put,2026-04-27,7,277.5,272.56500244140625,1.0181057638155677,8.85,6.85,7.2,7.025,0.35000000000000053,3.0,3,0.2651440673828125,2026-04-17 19:17:22
AAPL260427P00280000,put,2026-04-27,7,280.0,272.56500244140625,1.0272778878139062,8.5,8.35,9.1,8.725,0.75,13.0,60,0.27259028198242186,2026-04-20 14:58:42
AAPL260427P00285000,put,2026-04-27,7,285.0,272.56500244140625,1.045622135810583,15.3,11.4,13.85,12.625,2.4499999999999993,20.0,20,0.3391179370117187,2026-04-17 14:48:08
AAPL260429C00230000,call,2026-04-29,9,230.0,272.56500244140625,0.8438354078471373,40.45,41.2,43.7,42.45,2.5,4.0,4,0.7326686889648437,2026-04-17 15:55:42
AAPL260429C00240000,call,2026-04-29,9,240.0,272.56500244140625,0.8805239038404911,32.8,31.15,33.75,32.45,2.6000000000000014,6.0,8,0.5944864770507813,2026-04-20 14:51:11
AAPL260429C00245000,call,2026-04-29,9,245.0,272.56500244140625,0.898868151837168,29.28,26.0,28.85,27.425,2.8500000000000014,1.0,1,0.5336960693359375,2026-04-15 19:48:20
AAPL260429C00250000,call,2026-04-29,9,250.0,272.56500244140625,0.9172123998338448,20.0,21.95,23.95,22.95,2.0,2.0,7,0.4699760034179688,2026-04-17 14:17:09
AAPL260429C00255000,call,2026-04-29,9,255.0,272.56500244140625,0.9355566478305217,17.83,17.15,18.45,17.799999999999997,1.3000000000000007,22.0,106,0.34009448974609374,2026-04-20 15:02:02
AAPL260429C00257500,call,2026-04-29,9,257.5,272.56500244140625,0.9447287718288602,14.22,14.15,16.85,15.5,2.700000000000001,8.0,5,0.3888000573730469,2026-04-17 17:47:48
AAPL260429C00260000,call,2026-04-29,9,260.0,272.56500244140625,0.9539008958271986,13.28,12.6,13.95,13.274999999999999,1.3499999999999996,29.0,827,0.313483427734375,2026-04-20 15:02:02
AAPL260429C00262500,call,2026-04-29,9,262.5,272.56500244140625,0.9630730198255371,10.0,9.85,12.5,11.175,2.6500000000000004,11.0,10,0.350470362548828,2026-04-17 17:23:50
